angle_deg,Torque_uNm
0.0,-0.452056734472121
14.999999999999998,7.57607725362308
29.999999999999996,15.6133908965455
45.0,28.2872193191594
59.99999999999999,49.894582185823005
75.0,74.5867717246423
90.0,41.662582502997395
105.0,76.25783306170071
119.99999999999999,49.1877894287799
135.0,29.7569486880972
150.0,15.632392323243
165.0,6.644655423892
180.0,0.28918095429195
195.0,-8.05360830177339
210.0,-15.0540042220729
225.0,-28.907672407327198
239.99999999999997,-50.3700275598951
255.0,-75.0917899547409
270.0,-41.5094662919278
285.0,-74.0385886523838
300.0,-50.0917695951495
315.0,-27.782447306913
330.0,-15.1260356118791
345.0,-6.02695341721624
