"Freq [Hz]","Phase [deg]","Distance [mm]","Mag_B [mTesla]"
10,0,42.6666666666667,0.465358788741128
10,0,43,0.462060164700874
10,0,43.3333333333333,0.458781157883419
10,0,43.6666666666667,0.455521767161887
10,0,44,0.452277007323329
10,0,44.3333333333333,0.449044601593679
10,0,44.6666666666667,0.445828761101217
10,0,45,0.442629485783382
10,0,45.3333333333333,0.439446775673553
10,0,45.6666666666667,0.436280630901051
10,0,46,0.433131051691137
10,0,46.3333333333333,0.429998038365019
10,0,46.6666666666667,0.426881591339845
10,0,47,0.423781711128706
10,0,47.3333333333333,0.420698398340635
10,0,47.6666666666667,0.41763165368061
10,0,48,0.414515484100145
10,0,48.3333333333333,0.411420356044715
10,0,48.6666666666667,0.408346317814956
10,0,49,0.405293370292805
10,0,49.3333333333333,0.402261514464146
10,0,49.6666666666667,0.399250751418804
10,0,50,0.396261082350548
10,0,50.3333333333333,0.393292508557098
10,0,50.6666666666667,0.390345031440112
10,0,51,0.387418652505193
10,0,51.3333333333333,0.384513373361892
10,0,51.6666666666667,0.381629195723701
10,0,52,0.378766121408057
10,0,52.3333333333333,0.375924152336343
10,0,52.6666666666667,0.373103290533886
10,0,53,0.370464086235572
10,0,53.3333333333333,0.368068074553057
10,0,53.6666666666667,0.365677814857561
10,0,54,0.363293296279517
10,0,54.3333333333333,0.360914508473545
10,0,54.6666666666667,0.358541441618451
10,0,55,0.356174086417225
10,0,55.3333333333333,0.353812434097044
10,0,55.6666666666667,0.35151736716088
10,0,56,0.349287625769218
10,0,56.3333333333333,0.347063025747548
10,0,56.6666666666667,0.344843555561556
10,0,57,0.342629204332062
10,0,57.3333333333333,0.340419961835016
10,0,57.6666666666667,0.338215818501503
10,0,58,0.336016765417741
10,0,58.3333333333333,0.333822794325078
10,0,58.6666666666667,0.331890463011647
10,0,59,0.329974985461055
10,0,59.3333333333333,0.328064379243707
10,0,59.6666666666667,0.326158640520631
10,0,60,0.324257765483746
10,0,60.3333333333333,0.322361750355856
10,0,60.6666666666667,0.320470591390657
10,0,61,0.318584284872726
10,0,61.3333333333333,0.316702827117534
10,0,61.6666666666667,0.314826214471436
10,0,62,0.312954443311675
10,0,62.3333333333333,0.311087510046384
10,0,62.6666666666667,0.309225411114582
10,0,63,0.307368142986174
10,0,63.3333333333333,0.305515702161955
10,0,63.6666666666667,0.303668085173608
10,0,64,0.301825288583701
10,0,64.3333333333333,0.299987308985692
10,0,64.6666666666667,0.298154143003927
10,0,65,0.296325787293637
10,0,65.3333333333333,0.294502238540942
10,0,65.6666666666667,0.292683493462852
10,0,66,0.29086954880726
10,0,66.3333333333333,0.289060401352952
10,0,66.6666666666667,0.287320234152457
10,0,67,0.285704475370986
10,0,67.3333333333333,0.284093860259002
10,0,67.6666666666667,0.282488391232733
10,0,68,0.28088807073644
10,0,68.3333333333333,0.279292901242422
10,0,68.6666666666667,0.277702885251009
10,0,69,0.276118025290567
10,0,69.3333333333333,0.274538323917497
10,0,69.6666666666667,0.272963783716232
10,0,70,0.271394407299243
10,0,70.3333333333333,0.269830197307032
10,0,70.6666666666667,0.268271156408138
10,0,71,0.266693061233832
10,0,71.3333333333333,0.265183496509073
10,0,71.6666666666667,0.263752589137194
10,0,72,0.262326211664354
10,0,72.3333333333333,0.260904364002542
10,0,72.6666666666667,0.25948704606683
10,0,73,0.258074257775382
10,0,73.3333333333333,0.25666599904945
10,0,73.6666666666667,0.255262269813373
10,0,74,0.25386306999458
10,0,74.3333333333333,0.252468399523588
10,0,74.6666666666667,0.251078258334001
10,0,75,0.249692646362515
10,0,75.3333333333333,0.248311563548911
10,0,75.6666666666667,0.246935009836061
10,0,76,0.245562985169922
10,0,76.3333333333333,0.244195489499544
10,0,76.6666666666667,0.242832522777063
10,0,77,0.241474084957704
10,0,77.3333333333333,0.240120175999778
10,0,77.6666666666667,0.23877079586469
10,0,78,0.237425944516928
10,0,78.3333333333333,0.236085621924071
10,0,78.6666666666667,0.234749828056786
10,0,79,0.23341856288883
10,0,79.3333333333333,0.232091826397046
10,0,79.6666666666667,0.230769618561367
10,0,80,0.229451939364815
10,0,80.3333333333333,0.228138788793497
10,0,80.6666666666667,0.226830166836614
10,0,81,0.225526073486451
10,0,81.3333333333333,0.224226508738384
10,0,81.6666666666667,0.222931472590875
10,0,82,0.221640965045478
10,0,82.3333333333333,0.220354986106832
10,0,82.6666666666667,0.219073535782666
10,0,83,0.217796352391868
10,0,83.3333333333333,0.216509912550413
10,0,83.6666666666667,0.215227995489817
10,0,84,0.21395060105095
10,0,84.3333333333333,0.212677729078715
10,0,84.6666666666667,0.211409379422046
10,0,85,0.210145551933908
10,0,85.3333333333333,0.208873499685262
10,0,85.6666666666667,0.207604438619005
10,0,86,0.206339401239769
10,0,86.3333333333333,0.205078387410197
10,0,86.6666666666667,0.203824926917864
10,0,87,0.202629421838948
10,0,87.3333333333333,0.201440245090152
10,0,87.6666666666667,0.200251626635813
10,0,88,0.199068652258931
10,0,88.3333333333333,0.197886653177702
10,0,88.6666666666667,0.196705629551765
10,0,89,0.195525581529922
10,0,89.3333333333333,0.194346509250139
10,0,89.6666666666667,0.193168412839546
10,0,90,0.191991292414436
10,0,90.3333333333333,0.190815148080268
10,0,90.6666666666667,0.189639979931662
10,0,91,0.188465788052404
10,0,91.3333333333333,0.187292572515444
10,0,91.6666666666667,0.186120333382892
10,0,92,0.184949070706028
10,0,92.3333333333333,0.183778784525291
10,0,92.6666666666667,0.182609474870285
10,0,93,0.18144114175978
10,0,93.3333333333333,0.180273785201706
10,0,93.6666666666667,0.179107405193161
10,0,94,0.177942001720403
10,0,94.3333333333333,0.176777416494004
10,0,94.6666666666667,0.175610494017728
10,0,95,0.174444505234166
10,0,95.3333333333333,0.173279450158506
10,0,95.6666666666667,0.172115328806887
10,0,96,0.170952141196392
10,0,96.3333333333333,0.169789887345054
10,0,96.6666666666667,0.168628567271849
10,0,97,0.167468330704999
10,0,97.3333333333333,0.166310319820216
10,0,97.6666666666667,0.165153319180025
10,0,98,0.163997328904477
10,0,98.3333333333333,0.162842349136979
10,0,98.6666666666667,0.161688380044292
10,0,99,0.160535421816531
10,0,99.3333333333333,0.159383474667168
10,0,99.6666666666667,0.158232538833031
10,0,100,0.157082614574302
