magnet_z0_cm,Force_z_N
-5.0,0.313786973552841
-4.5,0.405771644196786
-4.0,0.64081285529369
-3.5000000000000004,0.713763453465718
-3.0,1.27521746058742
-2.5,1.96475519320848
-2.0,0.752986849656702
-1.5,0.409549497319073
-1.0,-0.0110203785584566
-0.5,-0.23323204855592
0.0,-0.734480305714956
0.5,-1.91268040982455
1.0,-1.06998374445935
1.5,-0.806745253575908
2.0,-0.72682029425883
2.5,-0.202071897267751
3.0,-0.415848098291814
