"Freq [Hz]","Phase [deg]","Distance [mm]","Mag_H [kA_per_meter]"
10,0,95.3333333333333,0.137891405302422
10,0,95.6666666666667,0.136965026964019
10,0,96,0.136039391673193
10,0,96.3333333333333,0.135114499444296
10,0,96.6666666666667,0.134190350292428
10,0,97,0.133267063367523
10,0,97.3333333333333,0.132345547584132
10,0,97.6666666666667,0.131424835727845
10,0,98,0.130504927894197
10,0,98.3333333333333,0.129585824197304
10,0,98.6666666666667,0.128667524769872
10,0,99,0.127750029763191
10,0,99.3333333333333,0.126833339347135
10,0,99.6666666666667,0.125917453710166
10,0,100,0.12500237305933
